㮝	㮝
䀘	䀘
一	⼀
不	不
丨	⼁
串	串
丶	⼂
丹	丹
丿	⼃
乙	⼄
亂	亂
亅	⼅
了	了
二	⼆
亠	⼇
亮	亮
人	⼈
什	什
令	令
侀	侀
來	來
例	例
侮	侮
便	便
倫	倫
僚	僚
僧	僧
儿	⼉
兀	兀
免	免
入	⼊
兩	兩
八	⼋
六	六
冂	⼌
冖	⼍
冫	⼎
冷	冷
凉	凉
凌	凌
凜	凜
凞	凞
几	⼏
凵	⼐
刀	⼑
切	切
列	列
利	利
刺	刺
劉	劉
力	⼒
劣	劣
勉	勉
勒	勒
勞	勞
勤	勤
勵	勵
勹	⼓
匕	⼔
北	北
匚	⼕
匸	⼖
匿	匿
十	⼗
卄	〹
卑	卑
卜	⼘
卩	⼙
卵	卵
厂	⼚
厶	⼛
參	參
又	⼜
口	⼝
句	句
吏	吏
吝	吝
呂	呂
咽	咽
喇	喇
喝	喝
嗀	嗀
嘆	嘆
器	器
囗	⼞
囹	囹
土	⼟
塀	塀
塚	塚
塞	塞
墨	墨
壘	壘
壟	壟
士	⼠
夂	⼡
夊	⼢
夕	⼣
大	⼤
奈	奈
契	契
女	⼥
嬨	嬨
子	⼦
宀	⼧
宅	宅
寧	寧
寮	寮
寸	⼨
小	⼩
尢	⼪
尸	⼫
尿	尿
屢	屢
層	層
履	履
屮	⼬
山	⼭
崙	崙
嵐	嵐
嶺	嶺
巛	⼮
工	⼯
己	⼰
巾	⼱
干	⼲
年	年
幺	⼳
广	⼴
度	度
廉	廉
廊	廊
廓	廓
廬	廬
廴	⼵
廾	⼶
弄	弄
弋	⼷
弓	⼸
彐	⼹
彡	⼺
彳	⼻
律	律
復	復
心	⼼
念	念
怒	怒
怜	怜
恵	恵
悔	悔
惡	惡
慄	慄
慨	慨
憎	憎
憐	憐
懲	懲
懶	懶
戀	戀
戈	⼽
戮	戮
戶	⼾
手	⼿
拉	拉
拏	拏
拓	拓
拾	拾
捻	捻
掠	掠
撚	撚
擄	擄
支	⽀
攴	⽁
敏	敏
數	數
文	⽂
斗	⽃
料	料
斤	⽄
方	⽅
旅	旅
无	⽆
既	既
日	⽇
易	易
晴	晴
暈	暈
暑	暑
暴	暴
曆	曆
曰	⽈
更	更
月	⽉
朗	朗
木	⽊
李	李
杻	杻
林	林
柳	柳
栗	栗
梁	梁
梅	梅
梨	梨
樂	樂
樓	樓
櫓	櫓
欄	欄
欠	⽋
止	⽌
歷	歷
歹	⽍
殮	殮
殳	⽎
殺	殺
毋	⽏
母	⺟
比	⽐
毛	⽑
氏	⽒
气	⽓
水	⽔
沈	沈
泌	泌
泥	泥
洛	洛
洞	洞
流	流
浪	浪
海	海
淋	淋
淚	淚
淪	淪
渚	渚
溜	溜
溺	溺
滑	滑
漏	漏
漢	漢
漣	漣
濫	濫
濾	濾
火	⽕
炙	炙
烈	烈
烙	烙
煉	煉
煮	煮
燎	燎
燐	燐
爐	爐
爛	爛
爪	⽖
爫	爫
父	⽗
爻	⽘
爿	⽙
片	⽚
牙	⽛
牛	⽜
牢	牢
犬	⽝
狀	狀
狼	狼
猪	猪
獵	獵
玄	⽞
率	率
玉	⽟
玲	玲
珞	珞
理	理
琉	琉
琢	琢
瑩	瑩
璉	璉
璘	璘
瓜	⽠
瓦	⽡
甘	⽢
生	⽣
用	⽤
田	⽥
留	留
略	略
異	異
疋	⽦
疒	⽧
痢	痢
療	療
癩	癩
癶	⽨
白	⽩
皮	⽪
皿	⽫
益	益
盧	盧
目	⽬
省	省
矛	⽭
矢	⽮
石	⽯
硫	硫
碌	碌
碑	碑
磊	磊
磻	磻
礪	礪
示	⽰
